Date,Raw tweet
2023-01-28 09:53:11+00:00,@TolaAdeola @solakafinta @elnyason @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship The guy is just annoying. Does he feel like he’s the only one working for PO in Kwara?
2023-01-28 09:53:10+00:00,@honexcess @PeterObi My the soul of our Obidient papa rest in peace. Amen.
2023-01-28 09:53:01+00:00,"@OfiabuluOsita @opebanwo @PeterObi no don't put the value into the system, when the BVAS accredits a voter, he/she goes straight to cast his vote and it counts automatically. so I don't know how there's a case of over voting, the PO should be held accountable in such situations."
2023-01-28 09:52:58+00:00,"@Puritiiy @PeterObi @fkeyamo Indont know when u were born but comparing sowore with keyamo is a big slap on your intellect. 
#PeterObiStepDown4Sowore #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore"
2023-01-28 09:52:58+00:00,"Yeah, I was of PDP for 23 years and I know many who are still in the party but are going to vote @PeterObi in February. Few months ago, the PA to one of the Big senators in APC told me that Obi is the next president, I was shocked. https://t.co/qjb0bR3sX9"
2023-01-28 09:52:56+00:00,"@Almulty24 @TheBaba_D @PeterObi Anambra is far , far ahead of Lagos when if comes to education, so relax"
2023-01-28 09:52:53+00:00,@PeterObi I was explaining to @Mayyuledochie  how important you are to  🇳🇬🥰💯🙏 https://t.co/kadanN1rZq
2023-01-28 09:52:52+00:00,@CDDWestAfrica @CDDWarRoom @CDDFactCheck @PeterObi @adamugarba you are a big f.o.o.l
2023-01-28 09:52:49+00:00,"@fppnigeria @PeterObi Democracy must be built through open societies that share information. When there is information, there is enlightenment. When there is debate, there are solutions. Some superman refuse to debates or answer questions that ur president? Shame on u slaves"
2023-01-28 09:52:46+00:00,"@tochialways @PeterObi If you feel like your life is not worth fighting for, at least think about the future of your children."
2023-01-28 09:52:41+00:00,"@TheLotanna @jpobiokafor @PeterObi Yes .. when F00lz are in the Majority they can elect another buhariG..so we want to redirect the gullible Majority away from IBB,OBASANJO using Peter Obi as a stooge ."
2023-01-28 09:52:39+00:00,"@TheBaba_D @PeterObi Las las,na we dey do ourselves. Imagine some1 saying nigeria does not need a good man as her president.
Every1 says who no like better thing but now d country has a chance to have a good empathetic leader,d say d dont want coz d r benefiting from d terrible system."
2023-01-28 09:52:33+00:00,@MaziUbadire @CDDWestAfrica @CDDWarRoom @CDDFactCheck @PeterObi He had to lie to catch cruise? U get luck sey u no dey near me
2023-01-28 09:52:18+00:00,"@TheBaba_D @PeterObi This Temitope dude is just a tragic agbado eater. Teaching, especially @ primary &amp; secondary school level, is the MOST NOBLE profession in the world."
2023-01-28 09:52:07+00:00,"@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship I don't think your initial aim of pushing for this course is immediate recognition or accolade. Though all or most of us doing this dropped selfish gains aside just to save us from these hijackers of our nation. Brace up and continue, we all are seeing your effort, reward coming"
