Date,Raw tweet
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:10:56+00:00,"Breaking: 

The Presidential candidate of PDP - H. E. Atiku Abubakar prevail on CBN Governor to extend Cash swap deadline.

Atiku Abubakar is for the Masses - he will #RecoverNigeria from APC.

⁦@DareGlintstone⁩ ⁦@SWAtiku2023⁩ ⁦@DeleMomodu⁩ ⁦

#AtikuForAll https://t.co/yUkpI4bT60"
2023-01-28 11:10:49+00:00,@atiku My president to be insha Allah
2023-01-28 11:10:47+00:00,"In as much as Nigerians are struggling to meet the deadline for the old naira notes, it's clearer that both APC and PDP are more perturbed than the rest Nigerians. Why?
Corruption!
They never believed CBN will hold on till now. #OBIDIENTS keep hope alive @PeterObi is a goal! https://t.co/bP7nSwJAeh"
2023-01-28 11:10:42+00:00,"Peter Obi is more better for you to reserve your money it may help u to do something else sorry nigeria 🇳🇬 is not for people like you,Nigeria is for ALHAJI ATIKU ABUBAKAR"
2023-01-28 11:10:41+00:00,"@officialeu_emma @timosilver @Spotlight_Abby @PeterObi @atiku @KwankwasoRM haven't they?
They killed 2 in imo state and 1 in Anambra.
Instead of you to think of how to stop the killing you keep covering it up,but igbos are the first to talk about area boy's menace in Lagos to spite tinubu. https://t.co/MJryH8aoYM"
2023-01-28 11:10:39+00:00,@U_Rochas @atiku Abeg who is feeding this inconsiderate fools PO is stepping down please?
2023-01-28 11:10:25+00:00,@mahbeel_A @atiku boro2rhyme AA has my vote
2023-01-28 11:10:24+00:00,@_Khadejah_atiku Where are you from???
2023-01-28 11:10:20+00:00,"@ShehuSani We will get over it soon  after the election,is just to avoid bullion vans of emilokan Dubai man atiku who used to buy vote. We're taking our country back through Peter Obi now."
2023-01-28 11:10:16+00:00,@Rabe_jr_ @Kay_kay4u @atiku Lol you wish he was really a thief sorry oo
2023-01-28 10:37:19+00:00,"@IAOkowa Even the heavens have ordained the #AtikuOkowa victory.

We will #RecoverNigeria by the special grace of God."
2023-01-28 10:34:00+00:00,@thecableng @officialABAT @OfficialAPCNg This is the second time he is castigating Buhari in public. Each time he runs to Aso Rock with his cohort to beg for leniency. Tinubu is too desperate to rule but I know he can't get there. Vote AtikuOkowa
2023-01-28 10:23:58+00:00,"@IAOkowa There is no issue in life that is impossible with God. The arrival of God is the arrival of possibilities. With God, Nigeria shall arise and  be great again! May the Lord give us access to peaceful and transparent election!
#AtikuOkowa
#OkowaIsWorking"
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:17:47+00:00,"2023: Oyelese, Others Are Expired Politicians, Atiku Needs Me To Win Oyo – Makinde Brags 

 https://t.co/GQBxkAVVgn"
2023-01-28 11:17:46+00:00,Anything that will not let Atiku and Tinubu near AsoRock please tag me 🙏🤲🏼
2023-01-28 11:17:38+00:00,@Nkemchor_ I don't care about Adeleke who is working with Atiku to frustrate Obi. Keep supporting the man who has not criticize Obi publicity yet he goes behind to plan with people like Atiku to burry Obi. Nkem grow up.
2023-01-28 11:17:37+00:00,"@U_Rochas @atiku This boy must be high on something stronger than him, people around him should help him."
2023-01-28 11:17:36+00:00,@profolu @atiku Do you think he need invalid be vote?
2023-01-28 11:17:29+00:00,@atiku My mama in the village deposited her small change long time ago
2023-01-28 11:17:20+00:00,"Atiku will undertake an immediate review of government spending with a view to eliminating all leakages including fuel subsidy payments. 

Vote for Atiku-Okowa
Vote PDP

#AtikuForAll
#RecoverNigeria https://t.co/cqgxiGuUgp"
2023-01-28 11:17:18+00:00,@atiku No going back NEVER! #PeterObiForPresident
2023-01-28 11:17:11+00:00,@atiku Oga SPV we won't a know corrupt man like yoy
2023-01-28 11:17:08+00:00,@Safeena_Atiku Yes I love you 😍❣️😍❤️ BABY
2023-01-28 10:37:19+00:00,"@IAOkowa Even the heavens have ordained the #AtikuOkowa victory.

We will #RecoverNigeria by the special grace of God."
2023-01-28 10:34:00+00:00,@thecableng @officialABAT @OfficialAPCNg This is the second time he is castigating Buhari in public. Each time he runs to Aso Rock with his cohort to beg for leniency. Tinubu is too desperate to rule but I know he can't get there. Vote AtikuOkowa
2023-01-28 10:23:58+00:00,"@IAOkowa There is no issue in life that is impossible with God. The arrival of God is the arrival of possibilities. With God, Nigeria shall arise and  be great again! May the Lord give us access to peaceful and transparent election!
#AtikuOkowa
#OkowaIsWorking"
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
